Rank,Title,Year,Rating,Genres
137,Batman Begins,2005,8.2,['Other']
138,1917,2019,8.2,['War']
139,The Wild Robot,2024,8.2,['Other']
140,The Thing,1982,8.2,['Other']
141,Green Book,2018,8.2,['Other']
142,A Clockwork Orange,1971,8.2,['Other']
143,Full Metal Jacket,1987,8.2,['War']
144,Die Hard,1988,8.2,['Other']
145,Pan's Labyrinth,2006,8.2,['Other']
146,A Beautiful Mind,2001,8.2,['Other']
147,Casino,1995,8.2,['Other']
148,Unforgiven,1992,8.2,['Other']
149,The Secret in Their Eyes,2009,8.2,['Other']
150,Finding Nemo,2003,8.2,['Other']
151,Howl's Moving Castle,2004,8.2,['Other']
152,Downfall,2004,8.2,['Other']
153,Indiana Jones and the Last Crusade,1989,8.2,['Other']
154,The Great Escape,1963,8.2,['War']
155,The Father,2020,8.2,['Other']
156,L.A. Confidential,1997,8.2,['Other']
157,Citizen Kane,1941,8.2,['Other']
158,The Sting,1973,8.2,['Other']
159,Gone with the Wind,1939,8.2,"['Romance', 'War']"
160,Vertigo,1958,8.2,['Other']
161,A Silent Voice: The Movie,2016,8.2,['Other']
162,Monty Python and the Holy Grail,1975,8.2,['Other']
163,The Elephant Man,1980,8.2,['Other']
164,Ran,1985,8.2,['War']
165,Metropolis,1927,8.2,['Other']
166,For a Few Dollars More,1965,8.2,['Other']
167,Klaus,2019,8.2,['Other']
168,Some Like It Hot,1959,8.2,['Other']
169,Dial M for Murder,1954,8.2,['Other']
170,Bicycle Thieves,1948,8.2,['War']
171,Children of Heaven,1997,8.2,['Adventure']
172,All About Eve,1950,8.2,['Other']
173,Gangs of Wasseypur,2012,8.2,['Other']
174,Drishyam,2015,8.2,"['Crime', 'Family']"
175,The Treasure of the Sierra Madre,1948,8.2,['Other']
176,Yojimbo,1961,8.2,['Other']
177,The Kid,1921,8.2,['Other']
178,My Father and My Son,2005,8.2,['Family']
179,Dead Poets Society,1989,8.1,['Other']
180,The Handmaiden,2016,8.1,['Other']
181,Fargo,1996,8.1,['Crime']
182,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,['Other']
183,Ford v Ferrari,2019,8.1,['Other']
184,Gone Girl,2014,8.1,['Other']
185,Catch Me If You Can,2002,8.1,['Other']
186,Memories of Murder,2003,8.1,['Other']
187,The Terminator,1984,8.1,['War']
188,Stand by Me,1986,8.1,['Other']
189,The Grand Budapest Hotel,2014,8.1,['Other']
190,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,['War']
191,Hacksaw Ridge,2016,8.1,['War']
192,Ratatouille,2007,8.1,['Other']
193,Blade Runner,1982,8.1,['Other']
194,The Big Lebowski,1998,8.1,['Other']
195,How to Train Your Dragon,2010,8.1,['Other']
196,12 Years a Slave,2013,8.1,['Other']
197,Mad Max: Fury Road,2015,8.1,['Other']
198,"Three Billboards Outside Ebbing, Missouri",2017,8.1,['Other']
199,V for Vendetta,2005,8.1,['Other']
200,Trainspotting,1996,8.1,['Other']
201,Spotlight,2015,8.1,['Other']
202,Warrior,2011,8.1,['War']
203,Before Sunrise,1995,8.1,['Other']
204,Platoon,1986,8.1,['War']
205,Rocky,1976,8.1,['Other']
206,Jaws,1975,8.1,['Other']
207,The Wizard of Oz,1939,8.1,['Other']
208,Logan,2017,8.1,['Other']
209,The Sound of Music,1965,8.1,['Other']
210,The Exorcist,1973,8.1,['Other']
211,"Monsters, Inc.",2001,8.1,['Other']
212,"Lock, Stock and Two Smoking Barrels",1998,8.1,['Other']
213,Barry Lyndon,1975,8.1,['Other']
214,Inside Out,2015,8.1,['Other']
215,The Deer Hunter,1978,8.1,['War']
216,Rush,2013,8.1,['Other']
217,My Neighbor Totoro,1988,8.1,['Adventure']
218,Room,2015,8.1,['Other']
219,Chinatown,1974,8.1,['Other']
220,Raging Bull,1980,8.1,['Other']
221,Million Dollar Baby,2004,8.1,['Other']
222,Gran Torino,2008,8.1,['War']
223,La haine,1995,8.1,['Other']
224,Wild Tales,2014,8.1,['Other']
225,Before Sunset,2004,8.1,['Other']
226,Hachi: A Dog's Tale,2009,8.1,['Family']
227,Network,1976,8.1,['Other']
228,The Iron Giant,1999,8.1,['Other']
